bootcamp_id,modulo_id,puntuacion
1,1,10
1,2,7
1,3,5
1,4,1
1,5,2
1,6,1
1,7,4
2,1,5
2,2,1
2,3,2
2,4,10
2,5,10
2,6,8
2,7,5
3,1,5
3,2,5
3,3,8
3,4,10
3,5,3
3,6,4
3,7,6
4,1,8
4,2,4
4,3,2
4,4,7
4,5,10
4,6,3
4,7,9
5,1,1
5,2,1
5,3,3
5,4,4
5,5,1
5,6,9
5,7,8
6,1,5
6,2,7
6,3,6
6,4,1
6,5,2
6,6,3
6,7,4
7,1,2
7,2,5
7,3,2
7,4,8
7,5,10
7,6,9
7,7,5
8,1,3
8,2,5
8,3,4
8,4,1
8,5,3
8,6,9
8,7,5
9,1,10
9,2,7
9,3,3
9,4,8
9,5,2
9,6,7
9,7,6
10,1,2
10,2,1
10,3,7
10,4,8
10,5,3
10,6,2
10,7,2
11,1,5
11,2,8
11,3,7
11,4,4
11,5,3
11,6,8
11,7,10
12,1,10
12,2,8
12,3,5
12,4,3
12,5,1
12,6,9
12,7,4
13,1,6
13,2,9
13,3,7
13,4,6
13,5,2
13,6,7
13,7,4
14,1,4
14,2,9
14,3,8
14,4,2
14,5,3
14,6,10
14,7,5
15,1,8
15,2,6
15,3,2
15,4,6
15,5,9
15,6,9
15,7,1
16,1,4
16,2,10
16,3,4
16,4,9
16,5,9
16,6,5
16,7,8
17,1,4
17,2,7
17,3,8
17,4,3
17,5,4
17,6,10
17,7,2
18,1,9
18,2,5
18,3,5
18,4,1
18,5,1
18,6,3
18,7,7
19,1,1
19,2,2
19,3,7
19,4,7
19,5,3
19,6,9
19,7,8
20,1,6
20,2,1
20,3,5
20,4,7
20,5,6
20,6,10
20,7,4
21,1,5
21,2,3
21,3,8
21,4,6
21,5,10
21,6,2
21,7,7
22,1,2
22,2,9
22,3,10
22,4,5
22,5,3
22,6,3
22,7,2
23,1,10
23,2,9
23,3,5
23,4,1
23,5,1
23,6,2
23,7,7
24,1,9
24,2,8
24,3,1
24,4,6
24,5,7
24,6,8
